№ п/п,Наименование / ФИО,Категория,ОГРН,ИНН,Регион,Город,Дата включения в реестр,Наличие лицензий,"Наличие заключенных договоров, контрактов","Производство инновационной, высокотехнологичной продукции",Среднесписочная численность работников за предшествующий календарный год,gainSum2019,gainSum2020,gainSum2021,gainSum2022,gainSum2023
226839,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗАПАДСТРОЙ""",Малое предприятие,1136829007402,6829095260,68 - Тамбовская область,г Тамбов,2016-01-08,Нет,Нет,Нет,5.0,52144,85185,150778,17389,0
226853,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗАПАДЭНЕРГОСЕТЬСТРОЙ""",Малое предприятие,1047796721884,7705619988,77 - г.Москва,,2016-01-08,Нет,Нет,Нет,29.0,117336,250841,245860,139956,178230
226895,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗАПСИБНЕФТЕХИММОНТАЖ""",Малое предприятие,1078602003710,8602027491,86 - Ханты-Мансийский автономный округ - Югра,г Сургут,2021-10-07,Нет,Нет,Нет,2.0,635246,107092,12456,1534,864
226896,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗАПСИБПРОМИНВЕСТ""",Малое предприятие,1068617004356,8617023595,86 - Ханты-Мансийский автономный округ - Югра,,2016-01-08,Да,Нет,Нет,48.0,0,,,,
226919,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗАПСИБСТРОЙ""",Малое предприятие,1025500534157,5502051600,55 - Омская область,г Омск,2016-01-08,Нет,Нет,Нет,51.0,76476,89010,131253,86213,110619
226940,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗАПСТРОЙ""",Среднее предприятие,1044702090290,4719026238,47 - Ленинградская область,г Коммунар,2016-01-08,Да,Нет,Нет,95.0,1230522,988439,1598911,1198107,176933
226946,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗАПСТРОЙТРАНС""",Малое предприятие,1167847273153,7840053441,78 - г.Санкт-Петербург,,2016-01-08,Да,Нет,Нет,52.0,430656,345420,524120,459098,490485
226976,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗАРЕЧЬЕ""",Малое предприятие,1185543021311,5507263581,55 - Омская область,г Омск,2018-10-09,Нет,Нет,Нет,25.0,53276,54571,57375,38149,39559
227016,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗАРЯ""",Малое предприятие,1085658003782,5609066303,56 - Оренбургская область,,2016-01-08,Нет,Нет,Нет,1.0,539253,405037,336040,,
227025,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗАРЯ""",Малое предприятие,1172036008044,2014016533,20 - Чеченская Республика,г Грозный,2021-10-07,Нет,Нет,Нет,13.0,,236168,175811,67076,42762
227155,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗАСТРОЙЩИК""",Малое предприятие,1227700247939,9723150893,77 - г.Москва,,2022-10-05,Нет,Нет,Нет,1.0,,,,,
227206,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗАЩИТА СТРОИТЕЛЬНЫХ КОНСТРУКЦИЙ""",Малое предприятие,1105902012061,5902176234,59 - Пермский край,г Пермь,2016-01-08,Нет,Нет,Нет,4.0,9978,49546,3223,8306,6516
227220,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗАЩИТА""",Малое предприятие,1023800838665,3804004064,38 - Иркутская область,г Братск,2016-01-08,Да,Нет,Нет,39.0,135571,62329,66259,71916,124065
227314,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗВЕЗДА""",Малое предприятие,1057536130563,7536066253,23 - Краснодарский край,г Сочи,2016-01-08,Да,Нет,Нет,52.0,502667,683016,282326,638877,808749
227400,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗГРАДА МОНОЛИТ""",Малое предприятие,1217800106501,7805781254,78 - г.Санкт-Петербург,,2021-10-08,Нет,Нет,Нет,109.0,,,156252,336636,1109081
227416,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗДЗ""",Малое предприятие,5147746412545,7706817750,77 - г.Москва,,2016-01-08,Нет,Нет,Нет,30.0,136106,292018,155375,126988,179683
227452,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗЕВА""",Малое предприятие,1093925009738,3908603496,39 - Калининградская область,г Калининград,2017-10-08,Нет,Нет,Нет,73.0,150798,98997,176755,249859,172470
227498,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗЕВС""",Малое предприятие,1200200000263,277946704,02 - Республика Башкортостан,г Уфа,2020-10-02,Нет,Нет,Нет,7.0,,144284,256348,255525,409251
227506,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗЕВС""",Среднее предприятие,1217700586180,9723130946,77 - г.Москва,,2023-10-12,Нет,Нет,Нет,1.0,,,,,
227588,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗЕКИ РУС""",Малое предприятие,1225000081228,5074076645,50 - Московская область,г Подольск,2022-10-08,Нет,Нет,Нет,16.0,,,,11983,
227628,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗЕЛЕНОГРАДСК-СЕЛЬСТРОЙ""",Малое предприятие,1073917009462,3918011080,39 - Калининградская область,г Зеленоградск,2016-01-08,Нет,Нет,Нет,44.0,15226,22655,35206,30511,46587
227653,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗЕЛЕНЧУКСКАЯ ВВФ""",Малое предприятие,1030901116069,904006542,09 - Карачаево-Черкесская Республика,г Черкесск,2017-10-08,Нет,Нет,Нет,30.0,80200,79466,103754,118048,108595
